0, "агрегаты и машины энергосиловые"
1, "агрегаты блокообрабатывающие"
2, "агрегаты закалочные"
3, "агрегаты резиносмесительные"
4, "агрегаты и машины для сборки рукавов"
5, "агрегаты и машины для приготовления предполимера"
6, "агрегаты и машины для формования резинотехнических изделий"
7, "агрегаты и машины для сборки резиновой обуви"
8, "агрегаты и машины для сборки покрышек и пневморессор"
9, "агрегаты и машины формовочные для резиновой обуви"
10, "агрегаты и машины для формования с вулканизацией резинотехнических изделий"
11, "агрегаты литьевые для резины"
12, "агрегаты выемочные горно"
13, "агрегаты и машины вырубные в производстве резиновых и резиноасбестовых изделий"
14, "агрегаты и машины для чистки в производстве резиновых изделий и регенерата"
15, "агрегаты и машины для сборки и восстановления ремней и конвейерных лент"
16, "автомобили пожарные"
17, "машины и механизмы производства агломерата и окатышей"
18, "автомобили-самосвалы"
19, "автомобили грузовые"
20, "автомобили легковые"
21, "резинотехнических изделий и резиновой обуви"
22, "абразивные шлифовальные порошки"
23, "абразивные точильные порошки"
24, "алюминиевые полуфабрикаты"
25, "алюминиевые плиты"
26, "алюминиевые порошки и чешуйки"
27, "абразивные точильные и шлифовальные порошки"
28, "заготовок и изделий из резины"
29, "изготовления и сборки покрышек"
30, "бурый уголь"
31, "абразивные изделия"
32, "абразивные материалы"
33, "автоматы кузнечно"
34, "автоматы пишущие"
35, "автоматы торговые"
36, "автоматы-кассиры"
37, "авиационные шины"
38, "уголь для использования в производстве фильтров"
39, "автомобили для перевозки игроков в гольф"
40, "автомобили скорой медицинской помощи"
41, "автомобили-тягачи седельные для полуприцепов"
42, "автомобильные шины"
43, "адипиновая кислота"
44, "азелаиновая кислота"
45, "азотная кислота"
46, "акриловая кислота"
47, "автобусные шины"
48, "авиационные моноблоки эбонитовые"
49, "автоматы игровые аттракционные"
50, "литий"
51, "резиновых отходов"
52, "алюминиевые емкости для любых веществ"
53, "автоматические линии для машиностроения и металлообработки"
54, "автоматические линии для металлургических производств"
55, "автомобильные моноблоки эбонитовые"
56, "автоматические манипуляторы с программным управлением"
57, "никель-металл-гидридные"
58, "аккумуляторные батареи никель"
